detectTime;midx;midy;x;y;width;height;roll;pitch;yaw;correctureX;correctureY;localX;localY;localXSet;localYSet
40;8;-333;505;4;286;286;-0.0226397;-0.0250194;-0.508173;-0.0186397;-0.191519;-0.0176747;-0.000106168;0;3.09133e-13
23;8;-333;505;4;286;286;-0.0226792;-0.0250307;-0.507771;-0.0186792;-0.191531;-0.0178664;-0.000156056;0;3.09133e-13
24;8;-333;505;4;286;286;-0.0227171;-0.0249834;-0.508357;-0.0187171;-0.191483;-0.0178664;-0.000156056;0;3.09133e-13
24;8;-333;505;4;286;286;-0.0227679;-0.0250173;-0.508401;-0.0187679;-0.191517;-0.0178664;-0.000156056;0;3.09133e-13
24;8;-333;505;4;286;286;-0.0227015;-0.024981;-0.508112;-0.0187015;-0.191481;-0.018054;-0.000203474;0;3.09133e-13
23;8;-333;505;4;286;286;-0.0227277;-0.0249404;-0.506893;-0.0187277;-0.19144;-0.018054;-0.000203474;0;3.09133e-13
113;9;-337;547;41;205;205;-0.0227431;-0.0248757;-0.507737;-0.0182431;-0.193376;-0.018054;-0.000203474;0;3.09133e-13
111;9;-337;548;42;202;202;-0.0227134;-0.0248473;-0.508183;-0.0182134;-0.193347;-0.0182489;-0.000253762;0;3.09133e-13
110;8;-336;540;36;216;216;-0.0227989;-0.024844;-0.50781;-0.0187989;-0.192844;-0.0182489;-0.000253762;0;3.09133e-13
110;9;-336;543;38;212;212;-0.0227589;-0.0248261;-0.508779;-0.0182589;-0.192826;-0.0182489;-0.000253762;0;3.09133e-13
110;8;-335;542;39;212;212;-0.0229512;-0.0247773;-0.50896;-0.0189512;-0.192277;-0.0184431;-0.00030436;0;3.09133e-13
73;7;-336;543;40;209;209;-0.0228878;-0.024733;-0.509297;-0.0193878;-0.192733;-0.0184431;-0.00030436;0;3.09133e-13
-928;8;-336;544;40;209;209;-0.0228792;-0.0247524;-0.509073;-0.0188792;-0.192752;-0.0184431;-0.00030436;0;3.09133e-13
72;8;-337;543;38;211;211;-0.0229568;-0.0246442;-0.509466;-0.0189568;-0.193144;-0.0184431;-0.00030436;0;3.09133e-13
72;9;-337;547;41;205;205;-0.022838;-0.0250771;-0.509385;-0.018338;-0.193577;-0.0186325;-0.000356461;0;3.09133e-13
71;8;-336;544;40;208;208;-0.022857;-0.0246242;-0.509262;-0.018857;-0.192624;-0.0186325;-0.000356461;0;3.09133e-13
71;8;-336;546;42;205;205;-0.0229432;-0.0247589;-0.50971;-0.0189432;-0.192759;-0.0186325;-0.000356461;0;3.09133e-13
73;8;-336;544;40;209;209;-0.0229094;-0.0247593;-0.509524;-0.0189094;-0.192759;-0.0188353;-0.000403094;0;3.09133e-13
71;8;-335;543;40;210;210;-0.0229904;-0.0246359;-0.509833;-0.0189904;-0.192136;-0.0188353;-0.000403094;0;3.09133e-13
71;9;-336;547;42;205;205;-0.0229309;-0.0247774;-0.509675;-0.0184309;-0.192777;-0.0188353;-0.000403094;0;3.09133e-13
71;9;-335;544;40;210;210;-0.0230573;-0.0244991;-0.509176;-0.0185573;-0.191999;-0.0190213;-0.000454442;0;3.09133e-13
71;8;-336;542;38;212;212;-0.0230628;-0.0246538;-0.508808;-0.0190628;-0.192654;-0.0190213;-0.000454442;0;3.09133e-13
-929;9;-336;547;42;205;205;-0.0230536;-0.0245532;-0.508506;-0.0185536;-0.192553;-0.0190213;-0.000454442;0;3.09133e-13
72;8;-336;543;39;211;211;-0.023048;-0.0245787;-0.508439;-0.019048;-0.192579;-0.0190213;-0.000454442;0;3.09133e-13
71;9;-335;545;41;208;208;-0.023027;-0.024562;-0.508252;-0.018527;-0.192062;-0.0192215;-0.000505871;0;3.09133e-13
71;8;-336;543;39;211;211;-0.0231021;-0.024475;-0.508468;-0.0191021;-0.192475;-0.0192215;-0.000505871;0;3.09133e-13
71;8;-336;543;39;211;211;-0.0230822;-0.0245446;-0.508781;-0.0190822;-0.192545;-0.0192215;-0.000505871;0;3.09133e-13
73;8;-336;544;40;209;209;-0.0231323;-0.0244293;-0.508704;-0.0191323;-0.192429;-0.0194236;-0.000555162;0;3.09133e-13
72;8;-336;546;42;205;205;-0.0231277;-0.0244801;-0.509072;-0.0191277;-0.19248;-0.0194236;-0.000555162;0;3.09133e-13
71;8;-336;544;40;209;209;-0.0231792;-0.0244466;-0.509715;-0.0191792;-0.192447;-0.0194236;-0.000555162;0;3.09133e-13
72;8;-336;543;39;211;211;-0.0232377;-0.0244829;-0.509881;-0.0192377;-0.192483;-0.0196207;-0.000603576;0;3.09133e-13
71;8;-336;545;41;207;207;-0.0233062;-0.0243973;-0.509945;-0.0193062;-0.192397;-0.0196207;-0.000603576;0;3.09133e-13
-929;8;-336;544;40;209;209;-0.0233543;-0.0243526;-0.509956;-0.0193543;-0.192353;-0.0196207;-0.000603576;0;3.09133e-13
72;8;-336;544;40;209;209;-0.0233938;-0.0244018;-0.510219;-0.0193938;-0.192402;-0.0196207;-0.000603576;0;3.09133e-13
72;9;-335;546;42;206;206;-0.0234045;-0.0243637;-0.51018;-0.0189045;-0.191864;-0.0198112;-0.000651808;0;3.09133e-13
71;8;-335;544;41;209;209;-0.023379;-0.0244037;-0.50983;-0.019379;-0.191904;-0.0198112;-0.000651808;0;3.09133e-13
71;8;-335;542;39;212;212;-0.0234225;-0.024333;-0.509473;-0.0194225;-0.191833;-0.0198112;-0.000651808;0;3.09133e-13
73;8;-336;544;40;209;209;-0.0234435;-0.0243319;-0.509878;-0.0194435;-0.192332;-0.0200065;-0.000700258;0;3.09133e-13
73;7;-336;543;40;209;209;-0.0234796;-0.0242713;-0.510265;-0.0199796;-0.192271;-0.0200065;-0.000700258;0;3.09133e-13
